epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7195.54,1.28981,0.82179,1.0481,0.8134,0.7666,0.84049,0.54739,1.08057,0.62046,0.93816,0.000643101,0.000643101,0.000643101
43,7366.35,1.28749,0.8145,1.04346,0.82176,0.76419,0.84279,0.55304,1.06262,0.61116,0.93434,0.000628101,0.000628101,0.000628101
44,7536.97,1.28312,0.81632,1.04433,0.83706,0.76058,0.84097,0.54047,1.09953,0.61929,0.94113,0.000612981,0.000612981,0.000612981
45,7707.57,1.27009,0.80831,1.03813,0.82467,0.77013,0.84603,0.55695,1.04091,0.60661,0.92724,0.000597754,0.000597754,0.000597754
46,7879.65,1.25792,0.79673,1.03232,0.82378,0.7807,0.85187,0.56487,1.03983,0.59398,0.9274,0.000582435,0.000582435,0.000582435
47,8050.7,1.25808,0.79565,1.02727,0.83905,0.77536,0.85631,0.56751,1.03694,0.58922,0.92514,0.00056704,0.00056704,0.00056704
48,8220.56,1.23631,0.77693,1.02452,0.84625,0.77618,0.86343,0.57167,1.01857,0.58209,0.91907,0.000551584,0.000551584,0.000551584
49,8390.19,1.23304,0.77414,1.02274,0.85612,0.77373,0.86303,0.57605,1.00618,0.57813,0.91743,0.000536081,0.000536081,0.000536081
50,8560.83,1.23059,0.77386,1.02468,0.84696,0.79368,0.87192,0.57746,1.03324,0.5771,0.92202,0.000520548,0.000520548,0.000520548
51,8731.63,1.22965,0.76643,1.01957,0.85781,0.79507,0.8718,0.57933,1.00651,0.56893,0.91391,0.000505,0.000505,0.000505
52,8901.78,1.20818,0.75598,1.01734,0.84227,0.80778,0.87756,0.59506,0.97285,0.55517,0.90707,0.000489452,0.000489452,0.000489452
53,9072.03,1.21106,0.7543,1.01454,0.85131,0.7988,0.87589,0.59162,0.9852,0.55602,0.90793,0.000473919,0.000473919,0.000473919
54,9238.51,1.21412,0.75621,1.01564,0.86169,0.79838,0.88251,0.59389,0.98552,0.55465,0.90817,0.000458416,0.000458416,0.000458416
55,9410.59,1.19333,0.74317,1.00768,0.87208,0.79939,0.88329,0.59429,0.98018,0.55015,0.90632,0.00044296,0.00044296,0.00044296
56,9581.7,1.18231,0.73422,1.00314,0.87543,0.81439,0.89283,0.60553,0.97216,0.54113,0.90385,0.000427565,0.000427565,0.000427565
57,9752.79,1.18677,0.73565,1.00498,0.87227,0.81205,0.89278,0.60744,0.96632,0.53549,0.90076,0.000412246,0.000412246,0.000412246
58,9923.54,1.16593,0.72187,0.99489,0.87766,0.8174,0.8948,0.61006,0.95798,0.53292,0.90016,0.000397019,0.000397019,0.000397019
59,10092.6,1.16558,0.7238,0.99859,0.87389,0.81657,0.89643,0.60921,0.95707,0.52957,0.89944,0.000381899,0.000381899,0.000381899
60,10260.9,1.15903,0.71652,0.99392,0.87223,0.82326,0.89571,0.60953,0.96643,0.52986,0.90078,0.000366899,0.000366899,0.000366899
61,10430.0,1.14418,0.70544,0.98815,0.878,0.82078,0.89758,0.61049,0.96852,0.52903,0.90096,0.000352037,0.000352037,0.000352037
62,10599.3,1.13962,0.69864,0.98712,0.88003,0.82851,0.90368,0.61823,0.94957,0.51953,0.8963,0.000337325,0.000337325,0.000337325
63,10770.5,1.13907,0.69947,0.99107,0.885,0.83376,0.9061,0.62284,0.94094,0.5144,0.8926,0.000322778,0.000322778,0.000322778
64,10944.1,1.13187,0.69592,0.98722,0.88894,0.82704,0.90686,0.62687,0.92663,0.50782,0.88823,0.000308412,0.000308412,0.000308412
65,11116.6,1.14015,0.70041,0.98838,0.90042,0.83443,0.91134,0.63326,0.91575,0.5013,0.88545,0.000294239,0.000294239,0.000294239
66,11285.7,1.12087,0.68518,0.9797,0.89944,0.82448,0.90741,0.62559,0.93141,0.50564,0.88941,0.000280275,0.000280275,0.000280275
67,11457.8,1.11029,0.67824,0.97975,0.89668,0.833,0.91003,0.62998,0.92663,0.50272,0.88773,0.000266532,0.000266532,0.000266532
68,11629.8,1.10664,0.67422,0.9746,0.89748,0.83869,0.91257,0.63478,0.91261,0.49869,0.88438,0.000253024,0.000253024,0.000253024
69,11804.4,1.09923,0.66948,0.97283,0.90851,0.82747,0.91424,0.63744,0.91359,0.49708,0.88456,0.000239766,0.000239766,0.000239766
70,11975.8,1.10223,0.67537,0.9738,0.89797,0.83568,0.9147,0.6331,0.92181,0.4975,0.8859,0.000226769,0.000226769,0.000226769
71,12146.0,1.10319,0.67539,0.97524,0.90603,0.83618,0.91801,0.63868,0.91189,0.49194,0.88314,0.000214046,0.000214046,0.000214046
72,12316.9,1.09336,0.66832,0.97363,0.89862,0.843,0.91762,0.63904,0.91534,0.49289,0.88323,0.000201611,0.000201611,0.000201611
73,12488.0,1.08981,0.6632,0.9705,0.90255,0.84199,0.91846,0.6421,0.90745,0.48983,0.88151,0.000189475,0.000189475,0.000189475
74,12660.1,1.0837,0.65992,0.9688,0.91458,0.83806,0.9194,0.6441,0.89531,0.48638,0.87972,0.000177651,0.000177651,0.000177651
75,12829.7,1.06799,0.64938,0.96377,0.90441,0.84445,0.92083,0.64607,0.89699,0.4846,0.87995,0.000166149,0.000166149,0.000166149
