epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9888.37,1.15274,0.70925,1.03373,0.88012,0.82786,0.90245,0.62531,0.93352,0.51883,0.92235,0.000643101,0.000643101,0.000643101
43,10118.6,1.13931,0.69823,1.02523,0.88495,0.81631,0.90097,0.61748,0.97984,0.52984,0.93273,0.000628101,0.000628101,0.000628101
44,10348.9,1.1393,0.69843,1.02778,0.88172,0.82678,0.90199,0.61909,0.94745,0.51632,0.92503,0.000612981,0.000612981,0.000612981
45,10579.4,1.12368,0.68923,1.01974,0.89513,0.83605,0.91106,0.64323,0.88069,0.50002,0.90922,0.000597754,0.000597754,0.000597754
46,10809.8,1.10676,0.67909,1.012,0.89623,0.84286,0.91769,0.63883,0.93361,0.50145,0.9197,0.000582435,0.000582435,0.000582435
47,11041.2,1.11225,0.67499,1.0083,0.89311,0.83277,0.91139,0.63937,0.9038,0.49872,0.91576,0.00056704,0.00056704,0.00056704
48,11271.3,1.08699,0.65527,1.00279,0.90187,0.84392,0.91804,0.64364,0.8995,0.48908,0.91158,0.000551584,0.000551584,0.000551584
49,11501.9,1.08018,0.65752,1.00176,0.91542,0.83983,0.92275,0.65419,0.88102,0.47911,0.90436,0.000536081,0.000536081,0.000536081
50,11731.9,1.07882,0.6535,1.00345,0.91062,0.8435,0.92202,0.65392,0.87993,0.47673,0.90673,0.000520548,0.000520548,0.000520548
51,11962.6,1.06719,0.64331,0.99528,0.9207,0.85163,0.92955,0.66364,0.85923,0.4657,0.90034,0.000505,0.000505,0.000505
52,12193,1.04866,0.63501,0.99418,0.92525,0.85942,0.93274,0.67207,0.8496,0.45761,0.89551,0.000489452,0.000489452,0.000489452
53,12423.5,1.05479,0.63367,0.99265,0.92006,0.85571,0.93063,0.67075,0.84187,0.46048,0.8929,0.000473919,0.000473919,0.000473919
54,12654.1,1.04677,0.63159,0.9907,0.92964,0.85936,0.93563,0.67677,0.83094,0.45063,0.88875,0.000458416,0.000458416,0.000458416
55,12885.7,1.03035,0.6186,0.98467,0.9239,0.867,0.93788,0.68033,0.817,0.44821,0.88664,0.00044296,0.00044296,0.00044296
56,13116.5,1.02125,0.61355,0.98121,0.91833,0.87455,0.93837,0.68214,0.82244,0.4445,0.88881,0.000427565,0.000427565,0.000427565
57,13349.1,1.01883,0.6091,0.98068,0.92945,0.86825,0.9415,0.68289,0.8177,0.44241,0.88707,0.000412246,0.000412246,0.000412246
58,13580.5,0.99806,0.59775,0.96905,0.93289,0.87113,0.94277,0.68542,0.82522,0.44073,0.88739,0.000397019,0.000397019,0.000397019
59,13810.7,0.99788,0.59751,0.97478,0.92709,0.88449,0.94714,0.68946,0.80551,0.43196,0.88344,0.000381899,0.000381899,0.000381899
60,14040.4,0.9862,0.59012,0.96648,0.93395,0.87941,0.94671,0.69608,0.79411,0.4297,0.87999,0.000366899,0.000366899,0.000366899
61,14269.1,0.975,0.58167,0.96331,0.93397,0.88004,0.94758,0.69717,0.79894,0.42725,0.87978,0.000352037,0.000352037,0.000352037
62,14497.9,0.96614,0.57308,0.96079,0.93568,0.88791,0.95074,0.69965,0.79034,0.42123,0.87805,0.000337325,0.000337325,0.000337325
63,14727.2,0.96815,0.57451,0.96522,0.94747,0.88489,0.95261,0.70238,0.79138,0.41976,0.87704,0.000322778,0.000322778,0.000322778
64,14957,0.96076,0.57309,0.96174,0.94077,0.88787,0.95207,0.70744,0.77136,0.41562,0.87343,0.000308412,0.000308412,0.000308412
65,15186.1,0.96414,0.5733,0.96227,0.94219,0.89215,0.95423,0.70977,0.77636,0.41413,0.87292,0.000294239,0.000294239,0.000294239
66,15415.3,0.94524,0.56111,0.95251,0.93755,0.89307,0.95391,0.70937,0.76763,0.41081,0.8711,0.000280275,0.000280275,0.000280275
67,15643.5,0.93275,0.5525,0.95206,0.93676,0.89635,0.95396,0.71037,0.77487,0.40926,0.87159,0.000266532,0.000266532,0.000266532
68,15872.4,0.92525,0.54778,0.9446,0.943,0.89998,0.95589,0.71534,0.76998,0.40669,0.87194,0.000253024,0.000253024,0.000253024
69,16101.4,0.92278,0.54523,0.94554,0.94811,0.89707,0.95674,0.71431,0.77614,0.40578,0.87251,0.000239766,0.000239766,0.000239766
70,16330.4,0.92493,0.54872,0.9468,0.95129,0.89219,0.95643,0.71364,0.77603,0.40593,0.87341,0.000226769,0.000226769,0.000226769
