epoch,feat_kd_loss,logit_kd_loss,total_distill_loss
1,0.00039,0.58405,0.58444
2,0.00026,0.44121,0.44147
3,0.0002,0.39161,0.39181
4,0.00019,0.37139,0.37158
5,0.00017,0.36449,0.36466
6,0.00017,0.35424,0.35441
7,0.00016,0.34725,0.34741
8,0.00016,0.3416,0.34176
9,0.00016,0.33531,0.33547
10,0.00016,0.33227,0.33243
11,0.00015,0.32751,0.32766
12,0.00015,0.32221,0.32236
13,0.00015,0.32086,0.32100999999999996
14,0.00015,0.31794,0.31809
15,0.00014,0.31534,0.31548
16,0.00015,0.31161,0.31176
17,0.00014,0.31111,0.31124999999999997
18,0.00014,0.30844,0.30857999999999997
19,0.00014,0.30558,0.30572
20,0.00014,0.30638,0.30651999999999996
21,0.00014,0.30327,0.30340999999999996
22,0.00014,0.30321,0.30334999999999995
23,0.00013,0.30098,0.30111000000000004
24,0.00013,0.29882,0.29895
25,0.00013,0.29612,0.29625
26,0.00013,0.29654,0.29667000000000004
27,0.00013,0.29337,0.29350000000000004
28,0.00013,0.2949,0.29503
29,0.00013,0.2933,0.29343
30,0.00013,0.29203,0.29216000000000003
31,0.00013,0.28955,0.28968
32,0.00013,0.29113,0.29126
33,0.00013,0.28916,0.28929
34,0.00013,0.28892,0.28905000000000003
35,0.00013,0.2873,0.28743
36,0.00013,0.28584,0.28597
37,0.00013,0.28508,0.28521
38,0.00013,0.28467,0.2848
39,0.00013,0.28232,0.28245000000000003
40,0.00013,0.28131,0.28144
41,0.00013,0.28215,0.28228000000000003
42,0.00013,0.2812,0.28133
43,0.00013,0.27888,0.27901000000000004
44,0.00013,0.28004,0.28017000000000003
45,0.00012,0.27754,0.27766
46,0.00012,0.27878,0.2789
47,0.00012,0.27791,0.27803
48,0.00013,0.27774,0.27787
49,0.00012,0.27678,0.27690000000000003
50,0.00012,0.27588,0.276
51,0.00012,0.27494,0.27506
52,0.00012,0.27436,0.27448
53,0.00012,0.27493,0.27505
54,0.00012,0.27362,0.27374
55,0.00012,0.27447,0.27459
56,0.00012,0.27336,0.27348
57,0.00012,0.27173,0.27185000000000004
58,0.00012,0.27266,0.27278
59,0.00012,0.27117,0.27129000000000003
60,0.00012,0.27145,0.27157000000000003
61,0.00012,0.27024,0.27036
62,0.00012,0.27023,0.27035000000000003
63,0.00012,0.26897,0.26909
64,0.00012,0.26913,0.26925
65,0.00012,0.26984,0.26996000000000003
66,0.00012,0.26971,0.26983
67,0.00012,0.26912,0.26924000000000003
68,0.00012,0.26843,0.26855
69,0.00012,0.26818,0.2683
70,0.00012,0.267,0.26712
71,0.00012,0.26638,0.2665
72,0.00012,0.26804,0.26816
73,0.00012,0.26658,0.2667
74,0.00012,0.26494,0.26506
75,0.00012,0.26575,0.26587
76,0.00012,0.26529,0.26541000000000003
77,0.00012,0.26575,0.26587
78,0.00012,0.26412,0.26424000000000003
79,0.00012,0.26526,0.26538
80,0.00012,0.26516,0.26528
81,0.00012,0.26427,0.26439
82,0.00012,0.26426,0.26438
83,0.00012,0.26494,0.26506
84,0.00012,0.2639,0.26402000000000003
85,0.00012,0.26415,0.26427
86,0.00014,0.25915,0.25928999999999996
87,0.00013,0.25702,0.25715000000000005
88,0.00012,0.25557,0.25569000000000003
89,0.00012,0.25503,0.25515
90,0.00012,0.25434,0.25446
91,0.00012,0.2545,0.25462
92,0.00012,0.25379,0.25391
93,0.00012,0.25377,0.25389
94,0.00012,0.25344,0.25356
95,0.00012,0.25323,0.25335
96,0.00012,0.2532,0.25332
97,0.00012,0.25318,0.2533
98,0.00012,0.25275,0.25287
99,0.00012,0.25327,0.25339
100,0.00012,0.25309,0.25321
