epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7596.62,1.43185,1.03819,1.10506,0.71789,0.68119,0.73319,0.42267,1.33276,0.82413,1.00129,0.000643101,0.000643101,0.000643101
43,7775.21,1.4232,1.02146,1.0984,0.71772,0.69466,0.7447,0.42705,1.33364,0.81326,0.99757,0.000628101,0.000628101,0.000628101
44,7955.65,1.42428,1.03237,1.10126,0.71456,0.67718,0.73375,0.42429,1.32641,0.85323,0.99773,0.000612981,0.000612981,0.000612981
45,8135.53,1.4109,1.01916,1.09091,0.74785,0.70055,0.7647,0.44978,1.29497,0.77437,0.97433,0.000597754,0.000597754,0.000597754
46,8315.12,1.40807,1.01239,1.09104,0.7431,0.69694,0.76284,0.43986,1.34233,0.794,0.99541,0.000582435,0.000582435,0.000582435
47,8494.8,1.41053,1.01291,1.08505,0.72828,0.69943,0.75566,0.44064,1.30027,0.79099,0.98036,0.00056704,0.00056704,0.00056704
48,8675.6,1.40065,1.00519,1.08623,0.75308,0.69091,0.76283,0.43831,1.31377,0.78044,0.98703,0.000551584,0.000551584,0.000551584
49,8854.83,1.37863,0.98761,1.0758,0.76137,0.70107,0.77171,0.4612,1.25075,0.76808,0.96479,0.000536081,0.000536081,0.000536081
50,9035.27,1.38866,1.00378,1.08273,0.75159,0.71225,0.77518,0.46342,1.23566,0.75658,0.96011,0.000520548,0.000520548,0.000520548
51,9218.57,1.38106,0.98779,1.07583,0.76621,0.71667,0.78218,0.46056,1.27219,0.75497,0.96647,0.000505,0.000505,0.000505
52,9398.67,1.37377,0.98089,1.0756,0.75132,0.71103,0.77673,0.45846,1.28298,0.76078,0.97409,0.000489452,0.000489452,0.000489452
53,9578.53,1.36766,0.97267,1.07178,0.74857,0.70985,0.7715,0.45409,1.28065,0.76659,0.97362,0.000473919,0.000473919,0.000473919
54,9758.66,1.37051,0.97596,1.07303,0.76802,0.7181,0.78388,0.46792,1.24541,0.74253,0.96048,0.000458416,0.000458416,0.000458416
55,9938.99,1.35554,0.96401,1.06566,0.78009,0.72944,0.7979,0.47597,1.25705,0.74033,0.96155,0.00044296,0.00044296,0.00044296
56,10131.9,1.36255,0.96338,1.06479,0.7645,0.7222,0.78431,0.46565,1.25589,0.74408,0.96168,0.000427565,0.000427565,0.000427565
57,10310.5,1.34719,0.95189,1.05922,0.76756,0.72863,0.78752,0.47169,1.23082,0.73494,0.95473,0.000412246,0.000412246,0.000412246
58,10490.4,1.3417,0.94865,1.05478,0.77456,0.72445,0.79029,0.47493,1.22305,0.73338,0.95017,0.000397019,0.000397019,0.000397019
59,10669.7,1.34112,0.94808,1.05885,0.78099,0.7277,0.80055,0.48121,1.22207,0.72164,0.94827,0.000381899,0.000381899,0.000381899
60,10862.9,1.33796,0.9442,1.05663,0.78309,0.73525,0.80449,0.4847,1.2217,0.72536,0.9492,0.000366899,0.000366899,0.000366899
61,11041.7,1.3344,0.94045,1.05568,0.77981,0.73732,0.80398,0.48311,1.22873,0.7187,0.95193,0.000352037,0.000352037,0.000352037
62,11221.7,1.32082,0.92682,1.04768,0.785,0.74446,0.81019,0.48709,1.2217,0.71415,0.94929,0.000337325,0.000337325,0.000337325
63,11403.3,1.32352,0.9302,1.05047,0.79268,0.74262,0.81649,0.49359,1.21138,0.71086,0.93941,0.000322778,0.000322778,0.000322778
64,11584.6,1.31839,0.92774,1.05126,0.79679,0.73749,0.811,0.48487,1.25005,0.72575,0.95452,0.000308412,0.000308412,0.000308412
