epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7410.31,1.49776,1.02412,1.12931,0.71314,0.66889,0.72789,0.43613,1.31116,0.80889,1.01836,0.000643101,0.000643101,0.000643101
43,7582.85,1.49964,1.01901,1.12563,0.70501,0.6677,0.73156,0.44147,1.27726,0.80229,1.008,0.000628101,0.000628101,0.000628101
44,7756.68,1.49105,1.01717,1.12598,0.7029,0.67754,0.735,0.4456,1.27226,0.79139,1.00517,0.000612981,0.000612981,0.000612981
45,7930.32,1.47965,1.01446,1.11836,0.72374,0.67848,0.73999,0.44891,1.2583,0.78227,0.99629,0.000597754,0.000597754,0.000597754
46,8100.16,1.4728,1.00293,1.11417,0.7218,0.6752,0.74317,0.4503,1.27113,0.78615,1.00262,0.000582435,0.000582435,0.000582435
47,8272.02,1.4761,0.99925,1.11048,0.71324,0.68957,0.74728,0.45259,1.25497,0.77236,0.9985,0.00056704,0.00056704,0.00056704
48,8441.97,1.45681,0.98345,1.10673,0.74292,0.68589,0.75452,0.45933,1.24727,0.76328,0.99704,0.000551584,0.000551584,0.000551584
49,8615.09,1.45479,0.97841,1.1073,0.73999,0.68474,0.75468,0.45982,1.24468,0.75974,0.99129,0.000536081,0.000536081,0.000536081
50,8787.3,1.45251,0.98584,1.10945,0.72616,0.68546,0.75066,0.45629,1.26821,0.76539,0.99976,0.000520548,0.000520548,0.000520548
51,8960.68,1.45393,0.97601,1.1026,0.74235,0.69606,0.75865,0.46435,1.24479,0.75779,0.99018,0.000505,0.000505,0.000505
52,9134.42,1.43662,0.96879,1.10255,0.74367,0.70387,0.76832,0.47399,1.21225,0.7381,0.98241,0.000489452,0.000489452,0.000489452
53,9307.88,1.43843,0.96346,1.09837,0.75428,0.70035,0.77121,0.47924,1.201,0.73249,0.97595,0.000473919,0.000473919,0.000473919
54,9481.2,1.4452,0.96752,1.10341,0.75068,0.70378,0.77008,0.47504,1.2039,0.73863,0.97885,0.000458416,0.000458416,0.000458416
55,9656.4,1.42685,0.95534,1.09328,0.75726,0.70266,0.77195,0.47928,1.20529,0.72931,0.97982,0.00044296,0.00044296,0.00044296
56,9829.44,1.41942,0.95015,1.08909,0.76828,0.70023,0.77426,0.48181,1.19452,0.72862,0.97573,0.000427565,0.000427565,0.000427565
57,10005.2,1.42263,0.94821,1.09142,0.75198,0.70747,0.77445,0.48056,1.19721,0.72331,0.97584,0.000412246,0.000412246,0.000412246
58,10177.7,1.4038,0.93314,1.07994,0.75785,0.7126,0.7825,0.48898,1.17803,0.71584,0.96984,0.000397019,0.000397019,0.000397019
59,10352.9,1.40896,0.94161,1.08601,0.77186,0.70703,0.78381,0.48832,1.19549,0.7148,0.97187,0.000381899,0.000381899,0.000381899
60,10527.8,1.39871,0.93244,1.07856,0.77708,0.71807,0.78781,0.49362,1.17959,0.70715,0.96791,0.000366899,0.000366899,0.000366899
61,10703.9,1.39093,0.92172,1.07617,0.77027,0.71307,0.78709,0.49415,1.17186,0.70601,0.96635,0.000352037,0.000352037,0.000352037
62,10876.6,1.38542,0.91602,1.07598,0.76178,0.7249,0.78574,0.49065,1.18304,0.71165,0.96991,0.000337325,0.000337325,0.000337325
63,11051.7,1.38615,0.91897,1.07937,0.76633,0.7218,0.78891,0.49434,1.16792,0.70201,0.96473,0.000322778,0.000322778,0.000322778
64,11228.4,1.38282,0.91573,1.07732,0.76626,0.72771,0.7958,0.50322,1.14985,0.6905,0.96049,0.000308412,0.000308412,0.000308412
65,11404.0,1.38686,0.91894,1.07541,0.77517,0.72202,0.79555,0.50231,1.14628,0.69225,0.96035,0.000294239,0.000294239,0.000294239
66,11579.0,1.36773,0.90397,1.06707,0.78711,0.71542,0.79478,0.50273,1.14599,0.68766,0.95734,0.000280275,0.000280275,0.000280275
67,11755.3,1.3642,0.89492,1.06837,0.76692,0.73821,0.79787,0.50417,1.14288,0.68389,0.95584,0.000266532,0.000266532,0.000266532
68,11930.1,1.36438,0.89287,1.06194,0.78477,0.7324,0.80481,0.51128,1.13102,0.67365,0.95163,0.000253024,0.000253024,0.000253024
69,12103.6,1.35745,0.89133,1.06203,0.77867,0.73598,0.80497,0.5107,1.13265,0.67575,0.95293,0.000239766,0.000239766,0.000239766
70,12277.9,1.35875,0.89469,1.0624,0.79027,0.72881,0.80406,0.51011,1.13055,0.67664,0.95131,0.000226769,0.000226769,0.000226769
71,12452.6,1.36209,0.90049,1.06609,0.79024,0.73079,0.80773,0.51397,1.13236,0.6737,0.95229,0.000214046,0.000214046,0.000214046
72,12628.0,1.35324,0.88968,1.06171,0.797,0.72815,0.8065,0.513,1.12949,0.67333,0.95072,0.000201611,0.000201611,0.000201611
73,12803.5,1.34829,0.88583,1.05898,0.79272,0.73164,0.80892,0.5151,1.12609,0.67236,0.94973,0.000189475,0.000189475,0.000189475
74,12979.9,1.34102,0.87964,1.05677,0.79554,0.73143,0.81003,0.51739,1.1208,0.66933,0.94868,0.000177651,0.000177651,0.000177651
75,13155.7,1.33682,0.8709,1.05435,0.79332,0.73626,0.81096,0.51602,1.12282,0.66806,0.94916,0.000166149,0.000166149,0.000166149
76,13332.1,1.33377,0.87155,1.05113,0.78932,0.73879,0.81113,0.51834,1.11557,0.66582,0.94659,0.000154982,0.000154982,0.000154982
77,13505.7,1.3311,0.8671,1.05429,0.7896,0.74106,0.81291,0.52,1.11219,0.66288,0.94584,0.000144161,0.000144161,0.000144161
78,13678.3,1.32964,0.86575,1.0526,0.7969,0.73817,0.81562,0.51968,1.11488,0.6635,0.94659,0.000133695,0.000133695,0.000133695
79,13855.6,1.33167,0.87363,1.05412,0.79596,0.73946,0.81441,0.52021,1.11419,0.66212,0.94579,0.000123596,0.000123596,0.000123596
80,14032.3,1.32139,0.85824,1.04599,0.7894,0.74743,0.81733,0.52314,1.10468,0.65897,0.94339,0.000113873,0.000113873,0.000113873
81,14208.0,1.31572,0.86005,1.045,0.80543,0.73686,0.81754,0.52287,1.10814,0.657,0.944,0.000104537,0.000104537,0.000104537
82,14386.6,1.31578,0.85978,1.04698,0.79826,0.7442,0.81892,0.52543,1.1044,0.65505,0.94265,9.55951e-05,9.55951e-05,9.55951e-05
83,14563.3,1.31102,0.85642,1.04544,0.79479,0.74645,0.81968,0.52649,1.10332,0.65375,0.94274,8.70577e-05,8.70577e-05,8.70577e-05
84,14742.1,1.32445,0.865,1.05017,0.80569,0.74206,0.82106,0.52743,1.09927,0.65175,0.94195,7.89327e-05,7.89327e-05,7.89327e-05
85,14916.2,1.31029,0.84948,1.04257,0.79652,0.74611,0.82003,0.52643,1.09814,0.65166,0.94224,7.12282e-05,7.12282e-05,7.12282e-05
86,15074.2,1.12879,0.72189,0.9815,0.80595,0.73745,0.81573,0.52208,1.10509,0.65662,0.9442,6.39518e-05,6.39518e-05,6.39518e-05
87,15229.8,1.10295,0.69901,0.97077,0.80403,0.73941,0.8179,0.52575,1.0974,0.6538,0.94183,5.71106e-05,5.71106e-05,5.71106e-05
88,15384.2,1.10909,0.69995,0.97279,0.79725,0.74637,0.81837,0.5287,1.08927,0.64967,0.9389,5.07115e-05,5.07115e-05,5.07115e-05
89,15537.7,1.09556,0.69061,0.96741,0.80811,0.74399,0.82089,0.52983,1.08669,0.64706,0.93809,4.47606e-05,4.47606e-05,4.47606e-05
90,15690.7,1.09175,0.69008,0.96739,0.81033,0.74626,0.82337,0.53129,1.084,0.64536,0.9372,3.9264e-05,3.9264e-05,3.9264e-05
91,15845.5,1.08551,0.6881,0.96553,0.80266,0.75161,0.82341,0.53092,1.08649,0.64535,0.93788,3.4227e-05,3.4227e-05,3.4227e-05
92,15998.8,1.08605,0.68536,0.96585,0.80598,0.75291,0.82467,0.53263,1.08413,0.64309,0.93702,2.96546e-05,2.96546e-05,2.96546e-05
93,16152.3,1.08975,0.68212,0.96186,0.80511,0.75242,0.82446,0.53301,1.08203,0.64115,0.93649,2.55513e-05,2.55513e-05,2.55513e-05
94,16306.1,1.08165,0.68202,0.96271,0.80759,0.75103,0.82562,0.53413,1.08114,0.64032,0.93624,2.19212e-05,2.19212e-05,2.19212e-05
95,16459.7,1.08252,0.68012,0.96123,0.80626,0.75408,0.82597,0.53452,1.07862,0.63972,0.93549,1.87678e-05,1.87678e-05,1.87678e-05
96,16612.6,1.07454,0.67529,0.96073,0.80617,0.75534,0.82596,0.53413,1.07895,0.64003,0.93557,1.60943e-05,1.60943e-05,1.60943e-05
97,16766.0,1.07443,0.67771,0.96283,0.81068,0.75302,0.82632,0.53528,1.07574,0.63878,0.93449,1.39032e-05,1.39032e-05,1.39032e-05
98,16919.9,1.07479,0.67634,0.96192,0.81094,0.75248,0.82667,0.53568,1.0742,0.63851,0.93402,1.21968e-05,1.21968e-05,1.21968e-05
99,17073.4,1.07604,0.67867,0.96221,0.80974,0.75497,0.82684,0.53631,1.07268,0.63745,0.93374,1.09768e-05,1.09768e-05,1.09768e-05
100,17225.7,1.07778,0.6804,0.96088,0.80827,0.75528,0.82661,0.53631,1.07285,0.6373,0.93374,1.02443e-05,1.02443e-05,1.02443e-05
